Qubit,fmax (GHz),fmin (GHz),V_0 (V)
0,5.924679356108901,4.78680143128813,12.39107409482781
1,6.484877320267723,5.240087676715949,12.063255536061323
2,6.551364447542614,5.273816054704151,11.89297686603853
3,6.480241026813106,5.232090718671423,11.026087506176795
4,6.670860972128225,5.404465929586268,10.18664215451441
5,6.0240876767045854,4.863004468861858,10.510062080888881
